name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
HoChiMinh,2025-09-28,31,24.7,26.6,39,24.7,28.6,25,91.2,6.2,100,29.17,rain,0,0,37.8,18.4,234,1005.7,83,11.9,201.5,17.3,7,30,2025-09-28T05:42:05,2025-09-28T17:45:39,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"VVTS,remote"
HoChiMinh,2025-09-29,30.4,24.3,26.6,34.8,24.3,28.3,23.5,84,13.5,100,54.17,rain,0,0,37.8,16.2,196.7,1008.5,100,19.2,224.6,19.4,8,30,2025-09-29T05:42:03,2025-09-29T17:45:01,0.24,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-09-30,29.9,23.9,26,34,23.9,27.3,23.1,84.6,8.4,77.4,54.17,rain,0,0,20.5,12.2,160.5,1010,96.6,21.7,179.8,15.6,8,30,2025-09-30T05:42:01,2025-09-30T17:44:24,0.25,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-01,31.3,23.8,26.9,35.3,23.8,28.4,23,80.3,7.6,77.4,45.83,rain,0,0,13.7,7.9,247.7,1010.1,98.3,21.2,214.6,18.6,8,30,2025-10-01T05:41:59,2025-10-01T17:43:47,0.31,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-02,32.8,24.2,27.6,37.6,24.2,29.5,23.3,79.2,7.9,61.3,58.33,rain,0,0,22.7,11.2,115.3,1010.8,62.8,20.3,271.6,23.4,10,60,2025-10-02T05:41:57,2025-10-02T17:43:10,0.34,"Rain, Partially cloudy",Clearing in the afternoon with storms possible.,rain,
HoChiMinh,2025-10-03,33.9,24.2,27.6,38.3,24.2,29.6,23.2,78.5,6.6,71,37.5,rain,0,0,19.4,10.1,159.9,1011,42.6,21.4,277.2,23.9,10,30,2025-10-03T05:41:56,2025-10-03T17:42:33,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
HoChiMinh,2025-10-04,32,24.5,27.4,37.2,24.5,29.5,23.6,81,40.2,77.4,29.17,rain,0,0,29.2,14.8,193.8,1010,72.7,14.9,261.5,22.8,9,60,2025-10-04T05:41:55,2025-10-04T17:41:57,0.4,"Rain, Partially cloudy",Becoming cloudy in the afternoon with storms possible.,rain,
HoChiMinh,2025-10-05,29.3,24.3,26.1,33.9,24.3,27.4,23.6,86.7,12.8,74.2,25,rain,0,0,28.7,10.2,224.8,1009.9,100,20,123.9,10.9,4,30,2025-10-05T05:41:54,2025-10-05T17:41:21,0.44,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-06,29.8,24,26.2,34,24,27.7,23.3,84.5,10.9,71,20.83,rain,0,0,29.5,11.9,205.2,1010.6,99.4,21.7,227.3,19.8,7,30,2025-10-06T05:41:54,2025-10-06T17:40:45,0.47,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-07,30.2,23.8,26.2,34.2,23.8,27.5,23.1,84,4.3,90.3,12.5,rain,0,0,19.4,9.7,233.8,1011,100,22.3,153.6,13.2,4,30,2025-10-07T05:41:53,2025-10-07T17:40:10,0.5,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-08,32.2,24.6,27.1,35.7,24.6,28.8,23.1,79.7,6.7,64.5,20.83,rain,0,0,27,13.7,247.5,1009.9,73,22.3,221.5,18.9,9,30,2025-10-08T05:41:54,2025-10-08T17:39:36,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
HoChiMinh,2025-10-09,30.1,24.1,26.3,34.7,24.1,27.7,23.1,83.2,10.9,77.4,16.67,rain,0,0,35.6,15.1,265.1,1007.5,91.3,20.9,237.6,20.7,8,30,2025-10-09T05:41:54,2025-10-09T17:39:01,0.57,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-10,26.3,23.8,24.5,26.3,23.8,24.5,23,91.5,8.3,74.2,33.33,rain,0,0,35.3,13.7,246.1,1008.4,98.3,19.1,49.4,4.5,2,30,2025-10-10T05:41:56,2025-10-10T17:38:28,0.61,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-11,26.9,23.4,24.3,29.7,23.4,24.4,23,92.5,9.7,74.2,25,rain,0,0,36,14,243.2,1008.8,99.9,18.1,82.4,6.9,3,30,2025-10-11T05:41:57,2025-10-11T17:37:55,0.64,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
HoChiMinh,2025-10-12,29.7,23.1,25.1,33.9,23.1,26.2,22.8,87.7,14.9,80.6,20.83,rain,0,0,34.9,14.4,268.9,1009.1,100,18,205.4,18,8,30,2025-10-12T05:41:59,2025-10-12T17:37:22,0.68,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
